Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0246911258	0	0	0	0	0	0	0	1000	0	0	0	3
2	2	0	0.0493822516	0	0	0	0	0	0	0	1000	0	0	0	3
3	3	0	0.0740733774	0	0	0	0	0	0	0	1000	0	0	0	3
4	3	0	0.0987645032	0	0	0	0	0	0	0	1000	0	0	0	3
5	4	0	0.123455629	0	0	0	0	0	0	0	1000	0	0	0	3
6	4	0	0.148146755	0	0	0	0	0	0	0	1000	0	0	0	3
7	4	0	0.172837881	0	0	0	0	0	0	0	1000	0	0	0	3
8	4	0	0.197529006	0	0	0	0	0	0	0	1000	0	0	0	3
9	4	0	0.222220132	0	0	0	0	0	0	0	1000	0	0	0	3
10	4	0	0.246911258	0	0	0	0	0	0	0	1000	0	0	0	3
11	5	0	0.271602384	0	0	0	0	0	0	0	1000	0	0	0	3
12	5	0	0.29629351	0	0	0	0	0	0	0	1000	0	0	0	3
13	5	0	0.320984635	0	0	0	0	0	0	0	1000	0	0	0	3
14	5	0	0.345675761	0	0	0	0	0	0	0	1000	0	0	0	3
15	5	0	0.370366887	0	0	0	0	0	0	0	1000	0	0	0	3
16	5	0	0.395058013	0	0	0	0	0	0	0	1000	0	0	0	3
17	6	0	0.419749139	0	0	0	0	0	0	0	1000	0	0	0	3
18	6	0	0.444440264	0	0	0	0	0	0	0	1000	0	0	0	3
19	6	0	0.46913139	0	0	0	0	0	0	0	1000	0	0	0	3
20	6	0	0.493822516	0	0	0	0	0	0	0	1000	0	0	0	3
21	6	0	0.518513642	0	0	0	0	0	0	0	1000	0	0	0	3
22	6	0	0.543204768	0	0	0	0	0	0	0	1000	0	0	0	3
23	7	0	0.567895893	0	0	0	0	0	0	0	1000	0	0	0	3
24	7	0	0.592587019	0	0	0	0	0	0	0	1000	0	0	0	3
25	7	0	0.617278145	0	0	0	0	0	0	0	1000	0	0	0	3
26	7	0	0.641969271	0	0	0	0	0	0	0	1000	0	0	0	3
27	7	0	0.666660397	0	0	0	0	0	0	0	1000	0	0	0	3
28	7	0	0.691351522	0	0	0	0	0	0	0	1000	0	0	0	3
29	7	0	0.716042648	0	0	0	0	0	0	0	1000	0	0	0	3
30	8	0	0.740733774	0	0	0	0	0	0	0	1000	0	0	0	3
31	8	0	0.7654249	0	0	0	0	0	0	0	1000	0	0	0	3
32	8	0	0.790116026	0	0	0	0	0	0	0	1000	0	0	0	3
33	8	0	0.814807151	0	0	0	0	0	0	0	1000	0	0	0	3
34	8	0	0.839498277	0	0	0	0	0	0	0	1000	0	0	0	3
35	8	0	0.864189403	0	0	0	0	0	0	0	1000	0	0	0	3
36	8	0	0.888880529	0	0	0	0	0	0	0	1000	0	0	0	3
37	9	0	0.913571655	0	0	0	0	0	0	0	1000	0	0	0	3
38	9	0	0.93826278	0	0	0	0	0	0	0	1000	0	0	0	3
39	9	0	0.962953906	0	0	0	0	0	0	0	1000	0	0	0	3
40	9	0	0.987645032	0	0	0	0	0	0	0	1000	0	0	0	3
41	9	0	1.01233616	0	0	0	0	0	1e-08	0	1000	0	0	0	3
42	10	0	1.03702728	0	0	0	0	0	1e-08	0	1000	0	0	0	3
43	10	0	1.06171841	0	0	0	0	0	1e-08	0	1000	0	0	0	3
44	10	0	1.08640954	0	0	0	0	0	1e-08	0	1000	0	0	0	3
45	10	0	1.11110066	0	0	0	0	0	1e-08	0	1000	0	0	0	3
46	10	0	1.13579179	0	0	0	0	0	1e-08	0	1000	0	0	0	3
47	11	0	1.16048291	0	0	0	0	0	1e-08	0	1000	0	0	0	3
48	11	0	1.18517404	0	0	0	0	0	1e-08	0	1000	0	0	0	3
49	11	0	1.20986516	0	0	0	0	0	1e-08	0	1000	0	0	0	3
50	11	0	1.23455629	0	0	0	0	0	1e-08	0	1000	0	0	0	3
51	11	0	1.25924742	0	0	0	0	0	1e-08	0	1000	0	0	0	3
52	11	0	1.28393854	0	0	0	0	0	1e-08	0	1000	0	0	0	3
53	12	0	1.30862967	0	0	0	0	0	1e-08	0	1000	0	0	0	3
54	12	0	1.33332079	0	0	0	0	0	1e-08	0	1000	0	0	0	3
55	12	0	1.35801192	0	0	0	0	0	1e-08	0	1000	0	0	0	3
56	12	0	1.38270304	0	0	0	0	0	1e-08	0	1000	0	0	0	3
57	12	0	1.40739417	0	0	0	0	0	1e-08	0	1000	0	0	0	3
58	13	0	1.4320853	0	0	0	0	0	1e-08	0	1000	0	0	0	3
59	13	0	1.45677642	0	0	0	0	0	1e-08	0	1000	0	0	0	3
60	13	0	1.48146755	0	0	0	0	0	1e-08	0	1000	0	0	0	3
61	13	0	1.50615867	0	0	0	0	0	1e-08	0	1000	0	0	0	3
62	13	0	1.5308498	0	0	0	0	0	1e-08	0	1000	0	0	0	3
63	13	0	1.55554093	0	0	0	0	0	1e-08	0	1000	0	0	0	3
64	14	0	1.58023205	0	0	0	0	0	1e-08	0	1000	0	0	0	3
65	14	0	1.60492318	0	0	0	0	0	1e-08	0	1000	0	0	0	3
66	14	0	1.6296143	0	0	0	0	0	1e-08	0	1000	0	0	0	3
67	14	0	1.65430543	0	0	0	0	0	1e-08	0	1000	0	0	0	3
68	14	0	1.67899655	0	0	0	0	0	1e-08	0	1000	0	0	0	3
69	15	0	1.70368768	0	0	0	0	0	1e-08	0	1000	0	0	0	3
70	15	0	1.72837881	0	0	0	0	0	1e-08	0	1000	0	0	0	3
71	15	0	1.75306993	0	0	0	0	0	1e-08	0	1000	0	0	0	3
72	15	0	1.77776106	0	0	0	0	0	1e-08	0	1000	0	0	0	3
73	15	0	1.80245218	0	0	0	0	0	1e-08	0	1000	0	0	0	3
74	16	0	1.82714331	0	0	0	0	0	1e-08	0	1000	0	0	0	3
75	16	0	1.85183443	0	0	0	0	0	1e-08	0	1000	0	0	0	3
76	16	0	1.87652556	0	0	0	0	0	1e-08	0	1000	0	0	0	3
77	16	0	1.90121669	0	0	0	0	0	1e-08	0	1000	0	0	0	3
78	16	0	1.92590781	0	0	0	0	0	1e-08	0	1000	0	0	0	3
79	16	0	1.95059894	0	0	0	0	0	1e-08	0	1000	0	0	0	3
80	17	0	1.97529006	0	0	0	0	0	1e-08	0	1000	0	0	0	3
81	17	0	1.99998119	0	0	0	0	0	1e-08	0	1000	0	0	0	3
82	17	0	2.02467232	0	0	0	0	0	1e-08	0	1000	0	0	0	3
83	17	0	2.04936344	0	0	0	0	0	1e-08	0	1000	0	0	0	3
84	17	0	2.07405457	0	0	0	0	0	1e-08	0	1000	0	0	0	3
85	17	0	2.09874569	0	0	0	0	0	1e-08	0	1000	0	0	0	3
86	18	0	2.12343682	0	0	0	0	0	1e-08	0	1000	0	0	0	3
87	18	0	2.14812794	0	0	0	0	0	1e-08	0	1000	0	0	0	3
88	18	0	2.17281907	0	0	0	0	0	1e-08	0	1000	0	0	0	3
89	18	0	2.1975102	0	0	0	0	0	1e-08	0	1000	0	0	0	3
90	18	0	2.22220132	0	0	0	0	0	1e-08	0	1000	0	0	0	3
91	18	0	2.24689245	0	0	0	0	0	1e-08	0	1000	0	0	0	3
92	19	0	2.27158357	0	0	0	0	0	1e-08	0	1000	0	0	0	3
93	19	0	2.2962747	0	0	0	0	0	1e-08	0	1000	0	0	0	3
94	19	0	2.32096582	0	0	0	0	0	1e-08	0	1000	0	0	0	3
