Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0246911258	101326.004	101326.004	101326.004	101326.004	0	0	0	0	2223.86	0	0	3
2	2	0	0.0493822516	101340.794	101333.399	101326.004	101340.794	7.39503264	0	0	0	13326.5	0	0	3
3	3	0	0.0740733774	101300.396	101322.398	101300.396	101340.794	11.0008818	0	0	0	26693.3	0	0	3
4	3	0	0.0987645032	101318.811	101321.501	101300.396	101340.794	11.8975838	0	0	0	29983.4	0	0	3
5	4	0	0.123455629	101310.51	101319.303	101300.396	101340.794	14.095828	0	0	0	21642.6	0	0	3
6	4	0	0.148146755	101313.284	101318.3	101300.396	101340.794	15.0990491	0	0	0	14541.8	0	0	3
7	4	0	0.172837881	101324.886	101319.241	101300.396	101340.794	15.0990491	0	0	0	10234.1	0	0	3
8	4	0	0.197529006	101331.421	101320.763	101300.396	101340.794	15.0990491	0	0	0	7342.48	0	0	3
9	4	0	0.222220132	101317.518	101320.403	101300.396	101340.794	15.0990491	0	0	0	7653.67	0	0	3
10	4	0	0.246911258	101329.311	101321.294	101300.396	101340.794	15.0990491	0	0	0	12049.3	0	0	3
11	5	0	0.271602384	101329.02	101321.996	101300.396	101340.794	15.0990491	0	0	0	10127.1	0	0	3
12	5	0	0.29629351	101321.101	101321.921	101300.396	101340.794	15.0990491	0	0	0	7282.04	0	0	3
13	5	0	0.320984635	101326.26	101322.255	101300.396	101340.794	15.0990491	0	0	0	4560.11	0	0	3
14	5	0	0.345675761	101327.899	101322.658	101300.396	101340.794	15.0990491	0	0	0	2926.22	0	0	3
15	5	0	0.370366887	101324.986	101322.813	101300.396	101340.794	15.0990491	0	0	0	2162.15	0	0	3
16	5	0	0.395058013	101332.703	101323.432	101300.396	101340.794	15.0990491	0	0	0	2087.14	0	0	3
17	6	0	0.419749139	101330.566	101323.851	101300.396	101340.794	15.0990491	0	0	0	5470.03	0	0	3
18	6	0	0.444440264	101325.366	101323.935	101300.396	101340.794	15.0990491	0	0	0	2614.72	0	0	3
19	6	0	0.46913139	101328.145	101324.157	101300.396	101340.794	15.0990491	0	0	0	2385.05	0	0	3
20	6	0	0.493822516	101325.447	101324.221	101300.396	101340.794	15.0990491	0	0	0	1653.76	0	0	3
21	6	0	0.518513642	101323.151	101324.17	101300.396	101340.794	15.0990491	0	0	0	1529.07	0	0	3
22	6	0	0.543204768	101324.844	101324.115	101300.396	101340.794	15.0990491	0	0	0	1234.14	0	0	3
23	7	0	0.567895893	101327.963	101323.504	101300.396	101332.703	5.92139223	0	0	0	1433.54	0	0	3
24	7	0	0.592587019	101328.371	101324.836	101310.51	101332.703	6.53632345	0	0	0	1027.4	0	0	3
25	7	0	0.617278145	101322.78	101325.025	101310.51	101332.703	6.72532501	0	0	0	691.484	0	0	3
26	7	0	0.641969271	101327.395	101325.829	101313.284	101332.703	7.52935388	0	0	0	1452.83	0	0	3
27	7	0	0.666660397	101327.708	101326.516	101317.518	101332.703	7.27529567	0	0	0	1283.23	0	0	3
28	7	0	0.691351522	101324.899	101326.517	101317.518	101332.703	6.11403532	0	0	0	851.012	0	0	3
29	7	0	0.716042648	101324.684	101326.196	101317.518	101332.703	6.11403532	0	0	0	864.097	0	0	3
30	8	0	0.740733774	101324.11	101326.51	101321.101	101332.703	5.22323049	0	0	0	684.045	0	0	3
31	8	0	0.7654249	101326.194	101326.362	101321.101	101332.703	4.59540044	0	0	0	588.741	0	0	3
32	8	0	0.790116026	101326.962	101326.264	101321.101	101332.703	4.59540044	0	0	0	447.186	0	0	3
33	8	0	0.814807151	101324.707	101326.435	101322.78	101332.703	4.26167404	0	0	0	559.672	0	0	3
34	8	0	0.839498277	101325.688	101326.408	101322.78	101332.703	3.85854057	0	0	0	727.635	0	0	3
35	8	0	0.864189403	101325.454	101326.292	101322.78	101332.703	3.70337302	0	0	0	293.764	0	0	3
36	8	0	0.888880529	101324.915	101326.288	101322.78	101332.703	3.0852785	0	0	0	287.645	0	0	3
37	9	0	0.913571655	101325.973	101325.968	101322.78	101330.566	3.01257895	0	0	0	304.03	0	0	3
38	9	0	0.93826278	101326.515	101325.775	101322.78	101328.371	3.01257895	0	0	0	1639.4	0	0	3
39	9	0	0.962953906	101324.72	101325.744	101322.78	101328.371	3.01257895	0	0	0	1048.41	0	0	3
40	9	0	0.987645032	101325.716	101325.628	101322.78	101328.371	3.01257895	0	0	0	726.397	0	0	3
41	9	0	1.01233616	101327.133	101325.709	101322.78	101328.371	3.01257895	3.56508953	0	100	1236.13	0	0	3
42	10	0	1.03702728	101325.826	101325.836	101322.78	101328.371	3.01257895	3.56508953	0	100	1956.1	0	0	3
43	10	0	1.06171841	101325.878	101325.885	101322.78	101328.371	3.01257895	3.56508953	0	100	1112.63	0	0	3
44	10	0	1.08640954	101324.995	101325.744	101322.78	101328.371	1.68046488	3.56508953	0	100	727.926	0	0	3
45	10	0	1.11110066	101324.905	101325.579	101322.78	101327.708	1.49146332	3.56508953	0	100	564.323	0	0	3
46	10	0	1.13579179	101325.258	101325.697	101324.11	101327.708	0.937741496	3.56508953	0	100	459.543	0	0	3
47	11	0	1.16048291	101325.341	101325.599	101324.11	101327.708	0.937741496	3.56508953	0	100	385.356	0	0	3
48	11	0	1.18517404	101325.193	101325.479	101324.11	101327.133	1.03731082	3.56508953	0	100	329.897	0	0	3
49	11	0	1.20986516	101325.205	101325.494	101324.11	101327.133	1.03045678	3.56508953	0	100	276.275	0	0	3
50	11	0	1.23455629	101325.058	101325.512	101324.11	101327.133	1.03045678	3.56508953	0	100	284.839	0	0	3
51	11	0	1.25924742	101325.255	101325.566	101324.707	101327.133	0.955748982	3.56508953	0	100	263.318	0	0	3
52	11	0	1.28393854	101324.885	101325.504	101324.707	101327.133	0.955748982	3.56508953	0	100	245.934	0	0	3
53	12	0	1.30862967	101324.987	101325.41	101324.707	101327.133	1.02522557	3.56508953	0	100	227.07	0	0	3
54	12	0	1.33332079	101325.053	101325.426	101324.72	101327.133	0.998004291	3.56508953	0	100	212.895	0	0	3
55	12	0	1.35801192	101324.985	101325.393	101324.72	101327.133	0.898611589	3.56508953	0	100	204.134	0	0	3
56	12	0	1.38270304	101324.906	101325.367	101324.72	101327.133	0.921367396	3.56508953	0	100	203.758	0	0	3
57	12	0	1.40739417	101324.798	101325.361	101324.72	101327.133	0.606501799	3.56508953	0	100	203.258	0	0	3
58	13	0	1.4320853	101324.735	101325.302	101324.72	101327.133	0.583120257	3.56508953	0	100	189.517	0	0	3
59	13	0	1.45677642	101324.728	101325.217	101324.72	101327.133	0.668212411	3.56508953	0	100	171.386	0	0	3
60	13	0	1.48146755	101324.734	101325.218	101324.728	101327.133	0.668212411	3.56508953	0	100	156.965	0	0	3
61	13	0	1.50615867	101324.787	101325.174	101324.728	101327.133	0.711821335	3.56508953	0	100	151.105	0	0	3
62	13	0	1.5308498	101324.891	101325.067	101324.728	101325.878	0.818590051	3.56508953	0	100	150.336	0	0	3
63	13	0	1.55554093	101324.827	101325.019	101324.728	101325.878	0.866170358	3.56508953	0	100	149.795	0	0	3
64	14	0	1.58023205	101325.069	101324.981	101324.728	101325.341	0.612289047	3.56508953	0	100	148.391	0	0	3
65	14	0	1.60492318	101325.184	101324.99	101324.728	101325.341	0.612289047	3.56508953	0	100	583.111	0	0	3
66	14	0	1.6296143	101324.775	101324.984	101324.728	101325.341	0.612289047	3.56508953	0	100	397.912	0	0	3
67	14	0	1.65430543	101324.831	101324.963	101324.728	101325.341	0.612289047	3.56508953	0	100	287.566	0	0	3
68	14	0	1.67899655	101325.242	101324.959	101324.728	101325.255	0.526370071	3.56508953	0	100	238.075	0	0	3
69	15	0	1.70368768	101325.147	101324.956	101324.728	101325.255	0.526370071	3.56508953	0	100	196.031	0	0	3
70	15	0	1.72837881	101324.969	101324.945	101324.728	101325.255	0.526370071	3.56508953	0	100	180.492	0	0	3
71	15	0	1.75306993	101324.85	101324.935	101324.728	101325.255	0.526370071	3.56508953	0	100	185.103	0	0	3
72	15	0	1.77776106	101324.774	101324.912	101324.728	101325.242	0.513682501	3.56508953	0	100	188.256	0	0	3
73	15	0	1.80245218	101324.858	101324.911	101324.728	101325.242	0.513682501	3.56508953	0	100	190.321	0	0	3
74	16	0	1.82714331	101324.783	101324.901	101324.728	101325.242	0.513682501	3.56508953	0	100	191.47	0	0	3
75	16	0	1.85183443	101324.79	101324.889	101324.728	101325.242	0.50425252	3.56508953	0	100	191.58	0	0	3
76	16	0	1.87652556	101324.81	101324.88	101324.728	101325.242	0.486500411	3.56508953	0	100	187.29	0	0	3
77	16	0	1.90121669	101324.797	101324.875	101324.728	101325.242	0.486116795	3.56508953	0	100	180.386	0	0	3
78	16	0	1.92590781	101324.808	101324.876	101324.728	101325.242	0.427158601	3.56508953	0	100	173.732	0	0	3
79	16	0	1.95059894	101324.801	101324.879	101324.728	101325.242	0.342733193	3.56508953	0	100	169.967	0	0	3
80	17	0	1.97529006	101324.792	101324.882	101324.734	101325.242	0.342733193	3.56508953	0	100	168.564	0	0	3
81	17	0	1.99998119	101324.791	101324.885	101324.774	101325.242	0.298457523	3.56508953	0	100	166.562	0	0	3
82	17	0	2.02467232	101324.782	101324.884	101324.774	101325.242	0.191688807	3.56508953	0	100	164.755	0	0	3
83	17	0	2.04936344	101324.768	101324.878	101324.768	101325.242	0.144108499	3.56508953	0	100	163.294	0	0	3
84	17	0	2.07405457	101324.762	101324.875	101324.762	101325.242	0.114572445	3.56508953	0	100	162.804	0	0	3
85	17	0	2.09874569	101324.754	101324.86	101324.754	101325.242	0.129459667	3.56508953	0	100	162.842	0	0	3
86	18	0	2.12343682	101324.754	101324.84	101324.754	101325.242	0.143744833	3.56508953	0	100	163.365	0	0	3
87	18	0	2.14812794	101324.747	101324.838	101324.747	101325.242	0.124779152	3.56508953	0	100	165.167	0	0	3
88	18	0	2.17281907	101324.821	101324.838	101324.747	101325.242	0.120561618	3.56508953	0	100	167.253	0	0	3
89	18	0	2.1975102	101324.875	101324.82	101324.747	101325.147	0.135846193	3.56508953	0	100	170.124	0	0	3
90	18	0	2.22220132	101324.777	101324.803	101324.747	101324.969	0.142221013	3.56508953	0	100	173.893	0	0	3
91	18	0	2.24689245	101324.802	101324.795	101324.747	101324.875	0.1281784	3.56508953	0	100	178.223	0	0	3
92	19	0	2.27158357	101324.833	101324.794	101324.747	101324.875	0.118145966	3.56508953	0	100	183.069	0	0	3
