Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0246911258	293.200198	293.200198	293.200198	293.200198	0	0	0	0	0.065241	0	0	3
2	2	0	0.0493822516	293.200266	293.200232	293.200198	293.200266	3.39636607e-05	0	0	0	4.01512	0	0	3
3	3	0	0.0740733774	293.200324	293.200263	293.200198	293.200324	6.48554264e-05	0	0	0	2.79778	0	0	3
4	3	0	0.0987645032	293.200354	293.200286	293.200198	293.200354	8.78235387e-05	0	0	0	1.83862	0	0	3
5	4	0	0.123455629	293.200363	293.200301	293.200198	293.200363	0.00010326321	0	0	0	2.14783	0	0	3
6	4	0	0.148146755	293.200367	293.200312	293.200198	293.200367	0.000114280792	0	0	0	2.42552	0	0	3
7	4	0	0.172837881	293.200351	293.200318	293.200198	293.200367	0.000119898003	0	0	0	2.57813	0	0	3
8	4	0	0.197529006	293.200334	293.20032	293.200198	293.200367	0.00012191456	0	0	0	2.54305	0	0	3
9	4	0	0.222220132	293.200332	293.200321	293.200198	293.200367	0.00012322803	0	0	0	2.37297	0	0	3
10	4	0	0.246911258	293.200313	293.20032	293.200198	293.200367	0.00012322803	0	0	0	2.26321	0	0	3
11	5	0	0.271602384	293.200297	293.200318	293.200198	293.200367	0.00012322803	0	0	0	1.89672	0	0	3
12	5	0	0.29629351	293.200289	293.200316	293.200198	293.200367	0.00012322803	0	0	0	1.62539	0	0	3
13	5	0	0.320984635	293.200275	293.200313	293.200198	293.200367	0.00012322803	0	0	0	1.43422	0	0	3
14	5	0	0.345675761	293.200261	293.200309	293.200198	293.200367	0.00012322803	0	0	0	1.30096	0	0	3
15	5	0	0.370366887	293.200256	293.200305	293.200198	293.200367	0.00012322803	0	0	0	1.22824	0	0	3
16	5	0	0.395058013	293.200217	293.2003	293.200198	293.200367	0.00012322803	0	0	0	1.20875	0	0	3
17	6	0	0.419749139	293.200204	293.200294	293.200198	293.200367	0.00012322803	0	0	0	1.12418	0	0	3
18	6	0	0.444440264	293.200215	293.20029	293.200198	293.200367	0.00012322803	0	0	0	1.00832	0	0	3
19	6	0	0.46913139	293.200213	293.200286	293.200198	293.200367	0.00012322803	0	0	0	0.907036	0	0	3
20	6	0	0.493822516	293.200238	293.200283	293.200198	293.200367	0.00012322803	0	0	0	0.827859	0	0	3
