Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0246911258
2	2	0	0.0493822516
3	3	0	0.0740733774
4	3	0	0.0987645032
5	4	0	0.123455629
6	4	0	0.148146755
7	4	0	0.172837881
8	4	0	0.197529006
9	4	0	0.222220132
10	4	0	0.246911258
11	5	0	0.271602384
12	5	0	0.29629351
13	5	0	0.320984635
14	5	0	0.345675761
15	5	0	0.370366887
16	5	0	0.395058013
17	6	0	0.419749139
18	6	0	0.444440264
19	6	0	0.46913139
20	6	0	0.493822516
21	6	0	0.518513642
22	6	0	0.543204768
23	7	0	0.567895893
24	7	0	0.592587019
25	7	0	0.617278145
26	7	0	0.641969271
27	7	0	0.666660397
28	7	0	0.691351522
29	7	0	0.716042648
30	8	0	0.740733774
31	8	0	0.7654249
32	8	0	0.790116026
33	8	0	0.814807151
34	8	0	0.839498277
35	8	0	0.864189403
36	8	0	0.888880529
37	9	0	0.913571655
38	9	0	0.93826278
39	9	0	0.962953906
40	9	0	0.987645032
41	9	0	1.01233616
42	10	0	1.03702728
43	10	0	1.06171841
44	10	0	1.08640954
45	10	0	1.11110066
46	10	0	1.13579179
47	11	0	1.16048291
48	11	0	1.18517404
49	11	0	1.20986516
50	11	0	1.23455629
51	11	0	1.25924742
52	11	0	1.28393854
53	12	0	1.30862967
54	12	0	1.33332079
55	12	0	1.35801192
56	12	0	1.38270304
57	12	0	1.40739417
58	13	0	1.4320853
59	13	0	1.45677642
60	13	0	1.48146755
61	13	0	1.50615867
62	13	0	1.5308498
63	13	0	1.55554093
64	14	0	1.58023205
65	14	0	1.60492318
66	14	0	1.6296143
67	14	0	1.65430543
68	14	0	1.67899655
69	15	0	1.70368768
70	15	0	1.72837881
71	15	0	1.75306993
72	15	0	1.77776106
73	15	0	1.80245218
74	16	0	1.82714331
75	16	0	1.85183443
76	16	0	1.87652556
77	16	0	1.90121669
78	16	0	1.92590781
79	16	0	1.95059894
80	17	0	1.97529006
81	17	0	1.99998119
82	17	0	2.02467232
83	17	0	2.04936344
84	17	0	2.07405457
85	17	0	2.09874569
86	18	0	2.12343682
87	18	0	2.14812794
88	18	0	2.17281907
89	18	0	2.1975102
90	18	0	2.22220132
91	18	0	2.24689245
92	19	0	2.27158357
93	19	0	2.2962747
94	19	0	2.32096582
